Package,Class Name,TCC
org.apache.commons.collections4.set.TransformedNavigableSet,TransformedNavigableSet,0.00
org.apache.commons.collections4.set.CompositeSet,CompositeSet,0.00
org.apache.commons.collections4.set.TransformedSet,TransformedSet,0.00
org.apache.commons.collections4.set.UnmodifiableSortedSet,UnmodifiableSortedSet,0.00
org.apache.commons.collections4.set.ListOrderedSet,ListOrderedSet,0.00
org.apache.commons.collections4.set.ListOrderedSet.OrderedSetIterator,OrderedSetIterator,0.00
org.apache.commons.collections4.set.UnmodifiableNavigableSet,UnmodifiableNavigableSet,0.00
org.apache.commons.collections4.set.UnmodifiableSet,UnmodifiableSet,0.00
org.apache.commons.collections4.set.MapBackedSet,MapBackedSet,0.00
org.apache.commons.collections4.TransformerUtils,TransformerUtils,0.00
org.apache.commons.collections4.ArrayStack,ArrayStack,0.00
org.apache.commons.collections4.MultiSetUtils,MultiSetUtils,0.00
